#    Model               GR#   GROUP_NAME             GDT_TS   NP_P    RANK  Z-M1-GDT  Z-M1s-GDT  Z-MA-GDT  Z-MAs-GDT  GDT_HA   Z-M1s-GDT-HA  GDC_SC   GDC_ALL  RMS_CA   RMS_ALL  NP    err  PC01  PC05  AL0_P  AL4_P  Z-M1-AL0_p  Z-M1s-AL0_p  Z-MA-AL0_p   Z-MAs-AL0_p  ALI_P  LGA_S    RMSD[L]  Z-score[M]  Z-Score[D]  Al.Res.  RMSD[D]  MolPrb_Score  LDDT    SphGr     CAD_AA  RPF     CODM    DFM     Handed.  SOV     CE      QCS     CONTS   TMscore  Dali(raw)  FlexE    QSE      CAD_SS    MolPrb_clash  MolPrb_rotout  MolPrb_ramout  MolPrb_ramfv 
12   T0880TS005_1-D1     005s  BAKER-ROSETTASERVER    47.92    100.00  10    1.42      1.43       1.27      1.30       34.02    1.42          4.64     12.30    7.59     8.935    36    0    3     6     0.00   11.11  -0.56       -0.58        -0.65        -0.61        50.00  44.114   2.27     0.66        0           0        N/A      0.67          0.43    38.89     0.53    0.43    0.54    1.04    0.65     100.00  1.64    -1.00   -1.00   0.32    N/A        8.96     N/A      0.12      0.00          0.00          0.00           97.06        
13   T0880TS303_1-D1     303   wfMESHI-TIGRESS        46.53    100.00  13    1.23      N/A        1.08      N/A        31.25    N/A           2.88     10.28    7.607    8.242    36    0    0     1     8.33   44.44  0.05        N/A          -0.10        N/A          50.00  35.853   2.78     1.97        0           0        N/A      1.97          0.43    51.39     0.52    0.45    0.68    0.96    0.64     45.50   1.64    -1.00   -1.00   0.29    N/A        11.95    N/A      0.19      0.00          10.34         8.82           82.35        
14   T0880TS434_1-D1     434s  MULTICOM-REFINE        46.53    100.00  13    1.23      1.24       1.08      1.13       27.78    0.48          4.33     13.99    7.48     8.802    36    0    0     0     27.78  58.33  1.48        1.18         1.19         1.10         61.11  44.092   2.42     2.50        0           0        N/A      2.04          0.38    40.28     0.51    0.32    0.41    1.29    0.70     11.10   2.30    -1.00   -1.00   0.24    N/A        13.64    67.39    0.16      24.53         0.00          2.94           97.06        
15   T0880TS264_1-D1     264   LNCCUnB                45.83    100.00  15    1.13      N/A        0.99      N/A        29.86    N/A           15.17    20.63    7.771    8.4      36    5    0     0     36.11  52.78  2.08        N/A          1.74         N/A          55.56  46.079   2.29     1.71        0           0        N/A      3.90          0.41    47.22     0.55    0.54    0.47    1.02    0.67     65.40   2.30    -1.00   -1.00   0.27    N/A        9.16     49.50    0.19      332.08        0.00          23.53          58.82        
16   T0880TS393_1-D1     393   MESHI                  45.83    100.00  15    1.13      N/A        0.99      N/A        31.25    N/A           2.51     8.72     7.62     8.195    36    0    0     0     19.44  47.22  0.86        N/A          0.64         N/A          47.22  34.6     2.77     1.97        0           0        N/A      4.12          0.44    50.00     0.49    0.47    0.72    0.84    0.65     45.50   1.64    -1.00   -1.00   0.29    N/A        10.45    62.28    0.16      67.92         17.24         20.59          64.71        
17   T0880TS489_1-D1     489   CARLBio                45.14    100.00  17    1.03      N/A        0.89      N/A        28.47    N/A           3.89     14.54    7.079    7.87     36    4    0     0     16.67  50.00  0.66        N/A          0.45         N/A          50.00  46.07    1.92     1.71        0           0        N/A      4.69          0.24    47.22     0.49    0.45    0.46    1.33    0.53     91.40   1.64    -1.00   -1.00   0.22    N/A        6.24     N/A      0.17      385.63        10.34         17.65          64.71        
18   T0880TS220_1-D1     220s  GOAL                   43.75    100.00  18    0.83      0.88       0.71      0.78       27.78    0.48          5.71     12.24    9.267    9.979    36    0    1     1     25.00  47.22  1.27        1.01         1.01         0.93         47.22  38.074   2.49     2.23        0           0        N/A      2.02          0.36    33.33     0.50    0.27    0.28    1.35    0.58     35.90   1.64    -1.00   -1.00   0.20    N/A        24.12    63.56    0.12      0.00          13.79         2.94           85.29        
19   T0880TS243_1-D1     243   Seok-refine            43.75    100.00  18    0.83      N/A        0.71      N/A        29.86    N/A           9.28     18.30    9.674    10.8     36    0    1     1     0.00   50.00  -0.56       N/A          -0.65        N/A          52.78  49.686   2.06     1.19        0           0        N/A      1.01          0.43    43.06     0.57    0.43    0.57    1.22    0.49     98.10   2.30    -1.00   -1.00   0.27    N/A        9.22     53.96    0.18      0.00          0.00          0.00           91.18        
20   T0880TS258_1-D1     258s  MUfold1                43.75    83.33   18    0.83      0.88       0.71      0.78       32.64    1.22          11.20    17.77    6.756    7.51     30    0    0     1     36.11  41.67  2.08        1.71         1.74         1.61         47.22  43.224   2.12     1.14        0           0        N/A      2.23          0.30    26.39     0.43    0.23    0.26    1.13    0.56     41.92   1.64    -1.00   -1.00   0.31    N/A        29.60    56.77    0.09      56.95         0.00          0.00           100.00       
21   T0880TS102_1-D1     102   Kiharalab              43.06    100.00  21    0.74      N/A        0.61      N/A        30.55    N/A           9.59     17.88    9.268    10.162   36    0    3     6     0.00   50.00  -0.56       N/A          -0.65        N/A          52.78  46.613   2.16     1.19        0           0        N/A      1.15          0.40    43.06     0.50    0.40    0.59    1.23    0.48     95.60   2.30    -1.00   -1.00   0.28    N/A        10.09    64.23    0.15      0.00          0.00          2.94           85.29        
22   T0880TS444_1-D1     444s  BhageerathH-Plus       43.06    100.00  21    0.74      0.78       0.61      0.70       29.16    0.69          3.82     10.27    8.354    8.535    36    0    0     2     33.33  36.11  1.88        1.54         1.56         1.44         47.22  39.367   2.17     1.45        0           0        N/A      3.01          0.45    56.94     0.53    0.48    0.62    0.80    0.63     44.10   1.24    -1.00   -1.00   0.28    N/A        19.55    69.96    0.23      52.83         0.00          11.76          73.53        
23   T0880TS042_1-D1     042   Elofsson               43.06    100.00  21    0.74      N/A        0.61      N/A        30.55    N/A           4.76     20.58    9.421    10.641   36    1    6     8     33.33  47.22  1.88        N/A          1.56         N/A          47.22  41.638   1.96     1.45        0           0        N/A      1.81          0.48    48.61     0.54    0.45    0.64    1.05    0.55     95.80   1.99    -1.00   -1.00   0.29    N/A        8.24     71.88    0.17      7.55          0.00          0.00           94.12        
24   T0880TS313_1-D1     313s  HHGG                   43.06    100.00  21    0.74      0.78       0.61      0.70       30.55    0.90          11.03    23.10    7.908    8.799    36    0    0     6     2.78   44.44  -0.35       -0.40        -0.46        -0.44        47.22  35.733   2.48     -0.12       0           0        N/A      1.73          0.39    34.72     0.54    0.32    0.58    1.07    0.61     41.10   1.24    -1.00   -1.00   0.29    N/A        19.96    65.79    0.15      1.89          0.00          0.00           76.47        
25   T0880TS126_1-D1     126   EdaRose                42.36    100.00  25    0.64      N/A        0.52      N/A        26.39    N/A           5.58     10.03    7.571    8.707    36    0    0     0     0.00   5.56   -0.56       N/A          -0.65        N/A          50.00  44.907   1.64     0.66        0           0        N/A      0.67          0.42    41.67     0.51    0.38    0.51    1.34    0.61     100.00  1.24    -1.00   -1.00   0.24    N/A        8.46     66.41    0.09      0.00          0.00          0.00           97.06        
26   T0880TS247_1-D1     247   BAKER                  42.36    100.00  25    0.64      N/A        0.52      N/A        27.78    N/A           10.35    16.56    7.988    7.925    36    0    0     0     36.11  47.22  2.08        N/A          1.74         N/A          55.56  40.511   2.31     1.45        0           0        N/A      1.87          0.41    54.17     0.58    0.41    0.79    0.70    0.62     70.80   1.64    -1.00   -1.00   0.25    N/A        12.10    N/A      0.25      3.77          0.00          0.00           82.35        
27   T0880TS252_1-D1     252   wfRosetta-ProQ-ModF6   42.36    100.00  25    0.64      N/A        0.52      N/A        25.69    N/A           3.76     9.88     7.832    9.624    36    0    0     0     0.00   13.89  -0.56       N/A          -0.65        N/A          47.22  44.185   2.08     -0.91       0           0        N/A      1.35          0.41    27.78     0.53    0.36    0.50    1.47    0.50     92.30   1.64    -1.00   -1.00   0.19    N/A        11.64    80.30    0.10      1.89          0.00          0.00           94.12        
28   T0880TS349_1-D1     349s  HHPred1                41.67    100.00  28    0.54      0.60       0.42      0.53       29.16    0.69          10.53    21.83    7.794    8.443    36    0    1     5     2.78   47.22  -0.35       -0.40        -0.46        -0.44        47.22  35.27    2.49     -0.38       0           0        N/A      2.76          0.40    37.50     0.50    0.34    0.59    1.03    0.60     28.00   1.24    -1.00   -1.00   0.28    N/A        19.93    66.12    0.16      33.96         0.00          2.94           79.41        
